Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
6;;;;;;;Specifying document;;7000869166;Specifying document;01;MSDS LOETPASTE IND8.9 PB-FREE;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S2200249243
6;;;;;;;Specifying document;;7200464593;Specifying document;AA;TD LOETPASTE IND8.9 HF PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200249243
6;;;;;;;Specifying document;;7200465069;Specifying document;AA;HS LOETPASTE IND8.9 HF PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200249243
5;;;;;;;Auxiliary Material;;S2200254089;;AA;LOETPASTE IND8.9-SP-HF-700GR SAC 305;000;L;;;;PUBLISHED;;;;;;;;;No;50;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000869166;Specifying document;01;MSDS LOETPASTE IND8.9 PB-FREE;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200464593;Specifying document;AA;TD LOETPASTE IND8.9 HF PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200464864;Specifying document;AA;HS LOETPASTE IND8.9 PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200464982;Specifying document;AA;TD LOETPASTE IND8.9 PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200465069;Specifying document;AA;HS LOETPASTE IND8.9 HF PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
5;;;;;;;Auxiliary Material;;S2200163608;;AA;LOETDRAHT EVASOL J3-MKR-3;000;L;;;;PUBLISHED;;;;;;;;;No;60;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000861940;Specifying document;AA;MSDS EVASOL J3-MKR-3;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200163608
6;;;;;;;Specifying document;;7200464766;Specifying document;AA;HS EVASOL J3-MKR-3;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200163608
6;;;;;;;Specifying document;;7200464961;Specifying document;AA;TD EVASOL J3-MKR-3;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200163608
5;;;;;;;Auxiliary Material;;S2200267409;;AA;LOETPASTE IND8.9-SP-HF-500GR SAC 305;000;L;;;;PUBLISHED;;;;;;;;;No;70;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000869166;Specifying document;01;MSDS LOETPASTE IND8.9 PB-FREE;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200464593;Specifying document;AA;TD LOETPASTE IND8.9 HF PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200464864;Specifying document;AA;HS LOETPASTE IND8.9 PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200464982;Specifying document;AA;TD LOETPASTE IND8.9 PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200465069;Specifying document;AA;HS LOETPASTE IND8.9 HF PB-FREE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
