Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
6;;;;;;;Specifying document;;7200464982;QEP;AA;TD LOETPASTE IND8.9 PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
6;;;;;;;Specifying document;;7200465069;QEP;AA;HS LOETPASTE IND8.9 HF PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200254089
5;;;;;;;Auxiliary Material;;S2200267409;;AA;LOETPASTE IND8.9-SP-HF-500GR SAC 305;000;L;;;;PUBLISHED;;;;;;;;;No;70;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000869166;QEP;01;MSDS LOETPASTE IND8.9 PB-FREE;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200464593;QEP;AA;TD LOETPASTE IND8.9 HF PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200464864;QEP;AA;HS LOETPASTE IND8.9 PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200464982;QEP;AA;TD LOETPASTE IND8.9 PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
6;;;;;;;Specifying document;;7200465069;QEP;AA;HS LOETPASTE IND8.9 HF PB-FREE;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200267409
5;;;;;;;Auxiliary Material;;S2200289656;;AA;HANDLOTDRAHT IND241 0,5MM WIRE C. 230 RC;000;L;;;;PUBLISHED;;;;;;;;;No;20;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000956411;QEP;AB;MSDS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289656
6;;;;;;;Specifying document;;7200464652;QEP;AA;HS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289656
6;;;;;;;Specifying document;;7200464857;QEP;AA;TD HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289656
5;;;;;;;Auxiliary Material;;S2200289657;;AA;HANDLOTDRAHT IND241 0,8MM WIRE C. 230 RC;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;1;kg;;;S2200146622
6;;;;;;;Specifying document;;7000956411;QEP;AB;MSDS HANDLOTDRAHT IND241 0,XMM C. 230 RC;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200289657
